utc_iso,epoch_ms,sensor,x,y,z,activity
2026-04-28T00:23:50.660059+00:00,1777335830660,gyro,-18.932339,-201.049103,-102.356842,running
2026-04-28T00:23:50.661178+00:00,1777335830661,mag,16.800001,-23.200001,-40.500000,running
2026-04-28T00:23:50.674529+00:00,1777335830674,acc,-0.614605,0.954801,-0.114332,running
2026-04-28T00:23:50.675012+00:00,1777335830674,gyro,-20.092707,-210.576355,-107.486893,running
2026-04-28T00:23:50.676149+00:00,1777335830676,mag,16.800001,-23.200001,-40.500000,running
2026-04-28T00:23:50.681888+00:00,1777335830681,acc,-0.666363,0.955289,-0.149488,running
2026-04-28T00:23:50.682485+00:00,1777335830682,gyro,-20.947714,-224.806137,-112.678024,running
2026-04-28T00:23:50.683694+00:00,1777335830683,mag,16.800001,-23.200001,-40.500000,running
2026-04-28T00:23:50.689390+00:00,1777335830689,acc,-0.723004,0.952359,-0.187574,running
2026-04-28T00:23:50.689970+00:00,1777335830689,gyro,-21.314146,-239.890930,-117.197357,running
2026-04-28T00:23:50.691165+00:00,1777335830691,mag,16.800001,-23.200001,-40.500000,running
2026-04-28T00:23:50.704447+00:00,1777335830704,acc,-0.754254,0.950406,-0.218824,running
2026-04-28T00:23:50.704979+00:00,1777335830704,gyro,-21.314146,-250.883911,-123.304558,running
2026-04-28T00:23:50.711891+00:00,1777335830711,mag,9.700000,-21.700001,-43.000000,running
2026-04-28T00:23:50.712485+00:00,1777335830712,acc,-0.726910,0.957730,-0.223219,running
2026-04-28T00:23:50.749569+00:00,1777335830749,gyro,-19.237698,-256.502533,-128.556763,running
2026-04-28T00:23:50.750121+00:00,1777335830750,mag,9.700000,-21.700001,-43.000000,running
2026-04-28T00:23:50.750614+00:00,1777335830750,acc,-0.678082,0.991910,-0.213453,running
2026-04-28T00:23:50.756853+00:00,1777335830756,gyro,-16.061951,-254.487183,-132.770721,running
2026-04-28T00:23:50.757461+00:00,1777335830757,mag,9.700000,-21.700001,-43.000000,running
2026-04-28T00:23:50.758085+00:00,1777335830758,acc,-0.630719,1.045621,-0.212965,running
2026-04-28T00:23:50.771933+00:00,1777335830771,gyro,-12.764061,-244.898849,-137.167908,running
2026-04-28T00:23:50.772482+00:00,1777335830772,mag,9.700000,-21.700001,-43.000000,running
2026-04-28T00:23:50.773083+00:00,1777335830773,acc,-0.593609,1.089566,-0.227613,running
2026-04-28T00:23:50.779430+00:00,1777335830779,gyro,-10.626538,-232.928711,-139.855087,running
2026-04-28T00:23:50.780089+00:00,1777335830780,mag,3.900000,-19.500000,-44.400002,running
2026-04-28T00:23:50.780641+00:00,1777335830780,acc,-0.588238,1.130094,-0.256910,running
2026-04-28T00:23:50.786975+00:00,1777335830786,gyro,-7.267575,-218.210358,-139.977234,running
2026-04-28T00:23:50.787528+00:00,1777335830787,mag,3.900000,-19.500000,-44.400002,running
2026-04-28T00:23:50.788296+00:00,1777335830788,acc,-0.597027,1.173551,-0.298414,running
2026-04-28T00:23:50.794396+00:00,1777335830794,gyro,-3.481107,-200.682663,-137.839722,running
2026-04-28T00:23:50.794962+00:00,1777335830794,mag,3.900000,-19.500000,-44.400002,running
2026-04-28T00:23:50.795609+00:00,1777335830795,acc,-0.592633,1.217496,-0.349684,running
2026-04-28T00:23:50.801883+00:00,1777335830801,gyro,0.183216,-181.322830,-132.221085,running
2026-04-28T00:23:50.802484+00:00,1777335830802,mag,3.900000,-19.500000,-44.400002,running
2026-04-28T00:23:50.803088+00:00,1777335830803,acc,-0.592145,1.274625,-0.417555,running
2026-04-28T00:23:50.809392+00:00,1777335830809,gyro,2.198594,-166.604477,-123.121346,running
2026-04-28T00:23:50.809963+00:00,1777335830809,mag,-2.100000,-19.100000,-42.700001,running
2026-04-28T00:23:50.810589+00:00,1777335830810,acc,-0.634625,1.342984,-0.483961,running
2026-04-28T00:23:50.816905+00:00,1777335830816,gyro,-1.099297,-160.497253,-112.189445,running
2026-04-28T00:23:50.817484+00:00,1777335830817,mag,-2.100000,-19.100000,-42.700001,running
2026-04-28T00:23:50.818111+00:00,1777335830818,acc,-0.693219,1.409879,-0.505445,running
2026-04-28T00:23:50.824378+00:00,1777335830824,gyro,-5.985062,-160.741547,-101.318619,running
2026-04-28T00:23:50.824969+00:00,1777335830824,mag,-2.100000,-19.100000,-42.700001,running
2026-04-28T00:23:50.831929+00:00,1777335830831,acc,-0.694684,1.470914,-0.505934,running
2026-04-28T00:23:50.832563+00:00,1777335830832,gyro,-10.626538,-162.512619,-88.676697,running
2026-04-28T00:23:50.833158+00:00,1777335830833,mag,-2.100000,-19.100000,-42.700001,running
2026-04-28T00:23:50.839383+00:00,1777335830839,acc,-0.621441,1.531461,-0.507887,running
2026-04-28T00:23:50.839959+00:00,1777335830839,gyro,-15.695519,-159.397964,-74.446907,running
2026-04-28T00:23:50.840578+00:00,1777335830840,mag,-3.500000,-17.900000,-41.700001,running
2026-04-28T00:23:50.846898+00:00,1777335830846,acc,-0.527203,1.588102,-0.493727,running
2026-04-28T00:23:50.847513+00:00,1777335830847,gyro,-22.413445,-147.855347,-63.148586,running
2026-04-28T00:23:50.854415+00:00,1777335830854,mag,-3.500000,-17.900000,-41.700001,running
2026-04-28T00:23:50.854967+00:00,1777335830854,acc,-0.465680,1.613004,-0.457105,running
2026-04-28T00:23:50.855583+00:00,1777335830855,gyro,-30.597099,-126.357971,-57.285664,running
2026-04-28T00:23:50.861819+00:00,1777335830861,mag,-3.500000,-17.900000,-41.700001,running
2026-04-28T00:23:50.862505+00:00,1777335830862,acc,-0.412457,1.576383,-0.425855,running
2026-04-28T00:23:50.863110+00:00,1777335830863,gyro,-38.963974,-101.562721,-54.537422,running
2026-04-28T00:23:50.869406+00:00,1777335830869,mag,-3.500000,-17.900000,-41.700001,running
2026-04-28T00:23:50.869967+00:00,1777335830869,acc,-0.344586,1.471891,-0.400953,running
2026-04-28T00:23:50.870581+00:00,1777335830870,gyro,-43.788666,-76.889603,-53.926701,running
2026-04-28T00:23:50.876809+00:00,1777335830876,mag,-3.500000,-17.900000,-41.700001,running
2026-04-28T00:23:50.877452+00:00,1777335830877,acc,-0.281598,1.327359,-0.374586,running
2026-04-28T00:23:50.878051+00:00,1777335830878,gyro,-43.055801,-50.445408,-55.331360,running
2026-04-28T00:23:50.884403+00:00,1777335830884,mag,-7.900000,-20.500000,-40.500000,running
2026-04-28T00:23:50.891900+00:00,1777335830891,acc,-0.234723,1.192105,-0.351148,running
2026-04-28T00:23:50.892494+00:00,1777335830892,gyro,-37.253956,-24.856216,-56.736012,running
2026-04-28T00:23:50.893176+00:00,1777335830893,mag,-7.900000,-20.500000,-40.500000,running
2026-04-28T00:23:50.899474+00:00,1777335830899,acc,-0.190289,1.102262,-0.327223,running
