utc_iso,epoch_ms,sensor,x,y,z,activity
2026-04-28T00:23:32.989385+00:00,1777335812989,acc,-0.104910,0.964262,0.237813,running
2026-04-28T00:23:32.989937+00:00,1777335812989,gyro,12.031195,-20.520100,-4.214046,running
2026-04-28T00:23:32.990584+00:00,1777335812990,acc,-0.107840,0.957914,0.241719,running
2026-04-28T00:23:32.996851+00:00,1777335812996,gyro,11.909052,-20.825462,-5.618703,running
2026-04-28T00:23:32.997518+00:00,1777335812997,acc,-0.105887,0.957426,0.247578,running
2026-04-28T00:23:32.998035+00:00,1777335812998,gyro,12.153339,-21.436182,-7.145505,running
2026-04-28T00:23:33.011834+00:00,1777335813011,mag,24.500000,-24.400000,-31.000000,running
2026-04-28T00:23:33.012397+00:00,1777335813012,acc,-0.110770,0.962797,0.253926,running
2026-04-28T00:23:33.012996+00:00,1777335813012,gyro,12.702988,-22.474407,-8.366946,running
2026-04-28T00:23:33.019347+00:00,1777335813019,mag,23.000000,-25.500000,-31.000000,running
2026-04-28T00:23:33.019891+00:00,1777335813019,acc,-0.136648,0.974027,0.264180,running
2026-04-28T00:23:33.020504+00:00,1777335813020,gyro,11.847979,-23.817991,-10.138036,running
2026-04-28T00:23:33.034366+00:00,1777335813034,mag,23.000000,-25.500000,-31.000000,running
2026-04-28T00:23:33.034876+00:00,1777335813034,acc,-0.179617,0.985258,0.276875,running
2026-04-28T00:23:33.035508+00:00,1777335813035,gyro,11.054042,-26.749451,-12.458774,running
2026-04-28T00:23:33.041795+00:00,1777335813041,mag,23.000000,-25.500000,-31.000000,running
2026-04-28T00:23:33.042431+00:00,1777335813042,acc,-0.222098,0.992094,0.283711,running
2026-04-28T00:23:33.043030+00:00,1777335813043,acc,-0.255789,0.997465,0.283711,running
2026-04-28T00:23:33.056807+00:00,1777335813056,gyro,9.527242,-36.826340,-17.955259,running
2026-04-28T00:23:33.064320+00:00,1777335813064,acc,-0.266531,1.003813,0.284199,running
2026-04-28T00:23:33.064893+00:00,1777335813064,gyro,6.840070,-43.666412,-21.497438,running
2026-04-28T00:23:33.065554+00:00,1777335813065,mag,22.300001,-25.100000,-30.600000,running
2026-04-28T00:23:33.071997+00:00,1777335813071,acc,-0.277273,0.996000,0.290547,running
2026-04-28T00:23:33.079558+00:00,1777335813079,gyro,3.664324,-50.933987,-26.810707,running
2026-04-28T00:23:33.080023+00:00,1777335813080,acc,-0.303641,0.966703,0.284687,running
2026-04-28T00:23:33.080569+00:00,1777335813080,gyro,0.916081,-57.529766,-32.734699,running
2026-04-28T00:23:33.086839+00:00,1777335813086,mag,22.300001,-25.100000,-30.600000,running
2026-04-28T00:23:33.087403+00:00,1777335813087,acc,-0.309012,0.923734,0.269062,running
