utc_iso,epoch_ms,sensor,x,y,z,activity
2026-04-28T00:22:51.155843+00:00,1777335771155,mag,5.600000,9.300000,-37.400002,walking
2026-04-28T00:22:51.161522+00:00,1777335771161,acc,-0.733328,0.517832,0.499555,walking
2026-04-28T00:22:51.162134+00:00,1777335771162,gyro,22.108084,-42.200680,-43.971954,walking
2026-04-28T00:22:51.169086+00:00,1777335771169,mag,5.600000,9.300000,-37.400002,walking
2026-04-28T00:22:51.176560+00:00,1777335771176,acc,-0.767996,0.490977,0.480512,walking
2026-04-28T00:22:51.177145+00:00,1777335771177,gyro,31.452112,-43.544266,-45.987331,walking
2026-04-28T00:22:51.178333+00:00,1777335771178,mag,5.600000,9.300000,-37.400002,walking
2026-04-28T00:22:51.184100+00:00,1777335771184,acc,-0.772391,0.486582,0.474164,walking
2026-04-28T00:22:51.184655+00:00,1777335771184,gyro,40.307560,-45.620716,-46.720200,walking
2026-04-28T00:22:51.185825+00:00,1777335771185,mag,5.600000,9.300000,-37.400002,walking
2026-04-28T00:22:51.191526+00:00,1777335771191,acc,-0.773367,0.493418,0.489301,walking
2026-04-28T00:22:51.192144+00:00,1777335771192,gyro,49.407295,-44.216061,-48.491287,walking
2026-04-28T00:22:51.193335+00:00,1777335771193,mag,7.100000,8.900001,-37.799999,walking
2026-04-28T00:22:51.206590+00:00,1777335771206,acc,-0.759695,0.505137,0.523480,walking
2026-04-28T00:22:51.207156+00:00,1777335771207,gyro,56.430580,-37.681351,-51.361675,walking
2026-04-28T00:22:51.208344+00:00,1777335771208,mag,7.100000,8.900001,-37.799999,walking
2026-04-28T00:22:51.214081+00:00,1777335771214,acc,-0.725516,0.517344,0.577191,walking
2026-04-28T00:22:51.214680+00:00,1777335771214,gyro,63.209579,-29.436619,-54.109917,walking
2026-04-28T00:22:51.215872+00:00,1777335771215,mag,7.100000,8.900001,-37.799999,walking
2026-04-28T00:22:51.221563+00:00,1777335771221,acc,-0.714285,0.522227,0.640668,walking
2026-04-28T00:22:51.222147+00:00,1777335771222,gyro,68.278557,-24.306566,-55.758862,walking
2026-04-28T00:22:51.223337+00:00,1777335771223,mag,7.100000,8.900001,-37.799999,walking
2026-04-28T00:22:51.236642+00:00,1777335771236,acc,-0.737723,0.537363,0.678754,walking
2026-04-28T00:22:51.237191+00:00,1777335771237,gyro,69.500008,-21.924757,-57.285664,walking
2026-04-28T00:22:51.238380+00:00,1777335771238,mag,2.700000,8.200000,-38.200001,walking
2026-04-28T00:22:51.244153+00:00,1777335771244,acc,-0.769949,0.555430,0.686078,walking
2026-04-28T00:22:51.244684+00:00,1777335771244,gyro,66.263176,-22.962982,-59.728546,walking
2026-04-28T00:22:51.245837+00:00,1777335771245,mag,2.700000,8.200000,-38.200001,walking
2026-04-28T00:22:51.251630+00:00,1777335771251,acc,-0.807547,0.554941,0.670941,walking
2026-04-28T00:22:51.252180+00:00,1777335771252,gyro,61.316345,-25.466936,-63.392876,walking
2026-04-28T00:22:51.253365+00:00,1777335771253,mag,2.700000,8.200000,-38.200001,walking
2026-04-28T00:22:51.266536+00:00,1777335771266,acc,-0.853445,0.533457,0.637738,walking
2026-04-28T00:22:51.267088+00:00,1777335771267,gyro,55.025925,-31.024494,-67.606842,walking
2026-04-28T00:22:51.268271+00:00,1777335771268,mag,2.700000,8.200000,-38.200001,walking
2026-04-28T00:22:51.273942+00:00,1777335771273,acc,-0.885672,0.509531,0.581586,walking
2026-04-28T00:22:51.274552+00:00,1777335771274,gyro,47.636208,-40.979240,-71.698669,walking
2026-04-28T00:22:51.275702+00:00,1777335771275,mag,5.700000,3.400000,-39.400002,walking
2026-04-28T00:22:51.281438+00:00,1777335771281,acc,-0.904227,0.482188,0.511273,walking
2026-04-28T00:22:51.282023+00:00,1777335771282,gyro,42.139721,-55.758678,-77.011940,walking
2026-04-28T00:22:51.283188+00:00,1777335771283,mag,5.700000,3.400000,-39.400002,walking
2026-04-28T00:22:51.296397+00:00,1777335771296,acc,-0.929129,0.448008,0.464887,walking
2026-04-28T00:22:51.297002+00:00,1777335771296,gyro,37.131813,-70.538109,-83.363434,walking
2026-04-28T00:22:51.298177+00:00,1777335771298,mag,5.700000,3.400000,-39.400002,walking
2026-04-28T00:22:51.303883+00:00,1777335771303,acc,-0.946219,0.425059,0.443891,walking
2026-04-28T00:22:51.304492+00:00,1777335771304,gyro,32.978909,-81.225723,-91.974586,walking
2026-04-28T00:22:51.305664+00:00,1777335771305,mag,5.700000,3.400000,-39.400002,walking
2026-04-28T00:22:51.311366+00:00,1777335771311,acc,-0.941336,0.416758,0.437055,walking
2026-04-28T00:22:51.311987+00:00,1777335771311,gyro,28.459579,-86.294708,-101.623978,walking
2026-04-28T00:22:51.313184+00:00,1777335771313,mag,4.200000,2.200000,-38.600002,walking
2026-04-28T00:22:51.326397+00:00,1777335771326,acc,-0.926199,0.410898,0.450238,walking
2026-04-28T00:22:51.327002+00:00,1777335771326,gyro,24.123463,-85.317558,-110.845863,walking
2026-04-28T00:22:51.328173+00:00,1777335771328,mag,4.200000,2.200000,-38.600002,walking
2026-04-28T00:22:51.333945+00:00,1777335771333,acc,-0.911062,0.395762,0.484418,walking
2026-04-28T00:22:51.334519+00:00,1777335771334,gyro,21.192005,-80.370720,-119.090591,walking
2026-04-28T00:22:51.335693+00:00,1777335771335,mag,4.200000,2.200000,-38.600002,walking
2026-04-28T00:22:51.341428+00:00,1777335771341,acc,-0.915945,0.385020,0.515180,walking
2026-04-28T00:22:51.342024+00:00,1777335771342,gyro,18.688049,-70.232758,-126.236015,walking
2026-04-28T00:22:51.343195+00:00,1777335771343,mag,4.200000,2.200000,-38.600002,walking
2026-04-28T00:22:51.356464+00:00,1777335771356,acc,-0.924734,0.379648,0.524945,walking
2026-04-28T00:22:51.357018+00:00,1777335771357,gyro,16.000877,-57.041187,-132.343231,walking
2026-04-28T00:22:51.358190+00:00,1777335771358,mag,3.400000,0.600000,-38.200001,walking
2026-04-28T00:22:51.363977+00:00,1777335771363,acc,-0.929129,0.364512,0.525922,walking
2026-04-28T00:22:51.364537+00:00,1777335771364,gyro,13.924429,-43.910694,-137.534348,walking
2026-04-28T00:22:51.365723+00:00,1777335771365,mag,3.400000,0.600000,-38.200001,walking
2026-04-28T00:22:51.371464+00:00,1777335771371,acc,-0.946219,0.338633,0.516156,walking
2026-04-28T00:22:51.372044+00:00,1777335771372,gyro,11.909052,-30.963423,-143.763702,walking
2026-04-28T00:22:51.373191+00:00,1777335771373,mag,3.400000,0.600000,-38.200001,walking
2026-04-28T00:22:51.386463+00:00,1777335771386,acc,-0.958426,0.308359,0.500043,walking
2026-04-28T00:22:51.387027+00:00,1777335771387,gyro,10.382250,-20.825462,-149.931976,walking
2026-04-28T00:22:51.388188+00:00,1777335771388,mag,3.400000,0.600000,-38.200001,walking
2026-04-28T00:22:51.393890+00:00,1777335771393,acc,-0.951590,0.284922,0.484906,walking
2026-04-28T00:22:51.394511+00:00,1777335771394,gyro,8.427944,-13.802174,-157.382767,walking
2026-04-28T00:22:51.395684+00:00,1777335771395,mag,1.600000,-0.500000,-39.000000,walking
2026-04-28T00:22:51.401403+00:00,1777335771401,acc,-0.921316,0.271738,0.477582,walking
2026-04-28T00:22:51.402013+00:00,1777335771402,gyro,5.130053,-8.794265,-166.482498,walking
2026-04-28T00:22:51.403191+00:00,1777335771403,mag,1.600000,-0.500000,-39.000000,walking
2026-04-28T00:22:51.416483+00:00,1777335771416,acc,-0.887625,0.260020,0.470258,walking
