utc_iso,epoch_ms,sensor,x,y,z,activity
2026-04-28T00:24:20.209638+00:00,1777335860209,gyro,-1.343585,-5.374230,1.221367,running
2026-04-28T00:24:20.210162+00:00,1777335860210,acc,-0.063359,0.998211,0.077074,running
2026-04-28T00:24:20.210958+00:00,1777335860210,gyro,0.183216,-8.855338,0.671719,running
2026-04-28T00:24:20.217078+00:00,1777335860217,mag,22.400000,-26.100000,-33.100002,running
2026-04-28T00:24:20.224606+00:00,1777335860224,acc,-0.060918,1.002117,0.078539,running
2026-04-28T00:24:20.225141+00:00,1777335860225,gyro,-0.061072,-8.977481,0.305286,running
2026-04-28T00:24:20.225762+00:00,1777335860225,mag,22.400000,-26.100000,-33.100002,running
2026-04-28T00:24:20.231934+00:00,1777335860231,acc,-0.057988,1.005047,0.076586,running
2026-04-28T00:24:20.232498+00:00,1777335860232,gyro,-0.366432,-8.366761,0.305286,running
2026-04-28T00:24:20.233100+00:00,1777335860233,acc,-0.064824,0.999676,0.083910,running
2026-04-28T00:24:20.239372+00:00,1777335860239,gyro,-3.175747,-2.076339,-2.442956,running
2026-04-28T00:24:20.239954+00:00,1777335860239,mag,21.300001,-26.100000,-33.900002,running
2026-04-28T00:24:20.240608+00:00,1777335860240,acc,-0.071660,1.001141,0.083422,running
2026-04-28T00:24:20.246952+00:00,1777335860246,acc,-0.072148,1.004070,0.084398,running
2026-04-28T00:24:20.247467+00:00,1777335860247,gyro,-2.992531,-2.076339,-2.931533,running
2026-04-28T00:24:20.248378+00:00,1777335860248,mag,21.700001,-26.500000,-33.100002,running
2026-04-28T00:24:20.254348+00:00,1777335860254,acc,-0.191289,1.007977,0.120043,running
2026-04-28T00:24:20.254927+00:00,1777335860254,gyro,-2.992531,-11.115004,-5.862992,running
2026-04-28T00:24:20.269345+00:00,1777335860269,mag,19.800001,-25.000000,-33.900002,running
2026-04-28T00:24:20.276811+00:00,1777335860276,acc,-0.224004,1.004559,0.122973,running
2026-04-28T00:24:20.277423+00:00,1777335860277,gyro,-2.198594,-15.390047,-7.634081,running
2026-04-28T00:24:20.278044+00:00,1777335860278,mag,19.800001,-25.000000,-33.900002,running
2026-04-28T00:24:20.284354+00:00,1777335860284,acc,-0.267949,1.005047,0.115160,running
2026-04-28T00:24:20.284918+00:00,1777335860284,gyro,-2.259666,-21.558325,-9.649460,running
2026-04-28T00:24:20.285715+00:00,1777335860285,acc,-0.286992,0.999188,0.103441,running
2026-04-28T00:24:20.291805+00:00,1777335860291,gyro,-4.030756,-29.986271,-10.504469,running
2026-04-28T00:24:20.292419+00:00,1777335860292,acc,-0.282109,0.979656,0.100512,running
2026-04-28T00:24:20.293045+00:00,1777335860293,gyro,-5.130053,-37.559200,-11.603765,running
2026-04-28T00:24:20.299342+00:00,1777335860299,acc,-0.265996,0.940105,0.105883,running
2026-04-28T00:24:20.299931+00:00,1777335860299,gyro,-5.557558,-42.139606,-13.374855,running
2026-04-28T00:24:20.300553+00:00,1777335860300,mag,20.600000,-25.000000,-34.700001,running
2026-04-28T00:24:20.306810+00:00,1777335860306,acc,-0.255742,0.891766,0.109301,running
2026-04-28T00:24:20.314370+00:00,1777335860314,gyro,-4.152900,-44.826778,-14.535224,running
2026-04-28T00:24:20.314964+00:00,1777335860314,mag,20.600000,-25.000000,-34.700001,running
2026-04-28T00:24:20.315610+00:00,1777335860315,acc,-0.259160,0.843426,0.104906,running
2026-04-28T00:24:20.321880+00:00,1777335860321,gyro,-1.465729,-46.903229,-15.756665,running
